City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
275,Adana,TR,36.985,35.2881,90.12,58,40,8.05,scattered clouds
276,Piacenza,IT,45.0468,9.6994,77.85,62,100,4.72,overcast clouds
277,Sepuka,TZ,-4.75,34.5333,79.27,31,25,11.16,scattered clouds
278,Englewood,US,39.6478,-104.9878,70.02,41,100,1.01,overcast clouds
279,Olinda,BR,-8.0089,-34.8553,73.89,86,33,7.07,scattered clouds
280,Naantali,FI,60.4674,22.0243,56.07,94,100,10.36,light intensity shower rain
281,Carballo,ES,43.213,-8.691,70.86,89,100,6.6,overcast clouds
282,Kabompo,ZM,-13.5927,24.2008,88.03,16,16,10.56,few clouds
283,Edgewater,US,28.9889,-80.9023,76.08,87,100,4.72,overcast clouds
284,Mikhaylovka,RU,50.06,43.2379,61.79,62,94,9.91,overcast clouds
285,Neuquen,AR,-38.9516,-68.0591,51.24,52,3,3.83,clear sky
286,Dedza,MW,-14.3779,34.3332,68.81,38,27,8.59,scattered clouds
287,General Pico,AR,-35.6566,-63.7568,44.85,60,0,4.14,clear sky
288,Hall,US,34.3168,-83.7832,61.59,83,0,3.44,clear sky
289,Tarabha,IN,20.7333,83.65,88.3,64,100,12.82,overcast clouds
290,Soyo,AO,-6.1349,12.3689,76.96,73,51,6.2,broken clouds
291,Valparaiso,CL,-33.0393,-71.6273,54.0,100,0,9.64,clear sky
292,Talara,PE,-4.5772,-81.2719,61.97,82,87,15.01,overcast clouds
293,Nantucket,US,41.2835,-70.0995,69.91,69,20,11.5,few clouds
294,Aksarka,RU,66.5606,67.7975,53.74,57,52,15.03,broken clouds
295,Rio Blanco,MX,18.8333,-97.15,63.14,95,87,1.32,overcast clouds
296,Mao,ES,39.8885,4.2658,82.96,89,20,8.05,few clouds
297,Kragero,NO,58.8693,9.4149,63.57,55,6,7.18,clear sky
298,Strezhevoy,RU,60.7333,77.5889,53.64,73,100,11.39,light rain
299,Garwa,IN,24.1833,83.8167,87.03,68,99,4.68,overcast clouds
300,Soritor,PE,-6.1392,-77.1039,63.73,95,47,2.26,scattered clouds
301,Vallenar,CL,-28.5708,-70.7581,54.73,46,0,5.01,clear sky
302,Madarounfa,NE,13.3087,7.156,83.3,66,4,10.96,clear sky
303,Elmina,GH,5.0898,-1.348,75.76,86,100,5.03,overcast clouds
304,Nouadhibou,MR,20.931,-17.0347,73.85,79,59,15.75,broken clouds
305,Fasa,IR,28.9383,53.6482,94.3,13,1,7.23,clear sky
306,Nalhati,IN,24.3,87.8167,84.76,76,98,7.25,overcast clouds
307,Vodnyy,RU,63.5046,53.4095,56.66,71,77,8.5,light rain
308,Ampanihy,MG,-24.7,44.75,77.27,44,67,16.13,broken clouds
309,Turukhansk,RU,65.8167,87.9833,43.48,86,100,3.33,light rain
310,Normandin,CA,48.8333,-72.5321,61.11,99,100,5.93,overcast clouds
311,Panguipulli,CL,-39.6333,-72.3333,45.28,96,91,1.83,overcast clouds
312,Mahon,ES,39.8885,4.2658,82.96,89,20,8.05,few clouds
313,Beloha,MG,-25.1667,45.05,75.02,47,67,16.49,broken clouds
314,Filadelfia,US,39.9523,-75.1638,63.88,81,8,5.7,clear sky
315,Bombay,IN,19.0144,72.8479,80.58,94,75,8.05,broken clouds
316,Mende,FR,44.6667,3.5,59.34,89,100,6.91,overcast clouds
317,Pionerskiy,RU,54.9508,20.2275,61.75,72,100,22.06,overcast clouds
318,Teguise,ES,29.0605,-13.564,73.62,69,20,8.05,few clouds
319,Marsala,IT,37.7966,12.4352,83.93,63,0,16.96,clear sky
320,Ancud,CL,-41.8697,-73.8203,52.23,83,100,19.82,overcast clouds
321,Touros,BR,-5.1989,-35.4608,74.07,88,30,10.98,scattered clouds
322,Eura,FI,61.1333,22.1333,53.38,92,100,15.75,light rain
323,Magnor,SE,59.9511,12.1996,55.13,59,100,5.64,overcast clouds
324,Lukulu,ZM,-14.3707,23.242,89.28,14,42,11.99,scattered clouds
325,Bosaso,SO,11.2842,49.1816,100.6,34,98,10.02,overcast clouds
326,Gemena,CD,3.25,19.7667,84.45,59,100,3.13,overcast clouds
327,Conceicao Da Barra,BR,-18.5933,-39.7322,67.71,88,1,6.44,clear sky
328,Agirish,RU,61.9247,63.0231,57.94,54,47,10.38,scattered clouds
329,Mwingi,KE,-0.9344,38.0601,81.97,33,49,10.92,scattered clouds
330,Shache,CN,38.4167,77.2406,88.02,14,6,7.52,clear sky
331,Ekibastuz,KZ,51.6667,75.3667,58.89,29,84,9.71,broken clouds
332,Aguie,NE,13.506,7.7786,83.62,63,11,11.9,few clouds
333,Kovdor,RU,67.5662,30.4758,47.53,91,100,3.29,overcast clouds
334,Raga,SS,8.4596,25.678,75.4,88,100,3.87,overcast clouds
335,Sehithwa,BW,-20.4667,22.7167,81.12,28,0,12.84,clear sky
336,Navrongo,GH,10.8956,-1.0921,79.9,78,28,5.44,scattered clouds
337,Chhachhrauli,IN,30.25,77.3667,84.69,69,77,9.1,broken clouds
338,Sechura,PE,-5.5569,-80.8222,60.28,84,26,9.22,scattered clouds
339,Vestmannaeyjar,IS,63.4427,-20.2734,45.59,81,0,10.36,clear sky
340,Mucuri,BR,-18.0864,-39.5508,68.88,85,0,10.85,clear sky
341,Aljezur,PT,37.3191,-8.8033,70.77,82,47,12.41,scattered clouds
342,Lithakia,GR,37.7167,20.8333,81.77,57,20,4.61,few clouds
343,Ust-Koksa,RU,50.2696,85.6108,56.17,47,100,3.98,overcast clouds
344,Vestmanna,FO,62.1564,-7.1664,47.32,87,75,23.02,light rain
